Week 1;день 1;жим;30;4;7
Week 1;день 1;жим;40;3;5
Week 1;день 1;присед;x;3;8
Week 1;день 1;разгибание рук на блоке стоя;x;3;10
Week 1;день 1;сгибание рук со штангой стоя ;x;3;10
Week 1;день 2;жим;25;5;8
Week 1;день 2;подтягивания;x;3;5
Week 1;день 2;жим;30;4;6
Week 1;день 2;тяга средним хватом к подбородку;x;3;10
Week 1;день 3;жим;35;4;6
Week 1;день 3;присед;x;3;8
Week 1;день 3;жим;40;4;5
Week 1;день 3;жим;45;2;4
Week 1;день 3;разгибание рук на блоке стоя;x;3;10
Week 1;день 3;сгибание рук со штангой стоя ;x;3;10
Week 2;день 1;жим;35;4;6
Week 2;день 1;жим;45;3;4
Week 2;день 1;присед;x;3;8
Week 2;день 1;разгибание рук на блоке стоя;x;3;10
Week 2;день 1;сгибание рук со штангой стоя ;x;3;10
Week 2;день 2;жим;30;5;7
Week 2;день 2;подтягивания;x;3;5
Week 2;день 2;жим;35;4;5
Week 2;день 2;тяга средним хватом к подбородку;x;3;10
Week 2;день 3;жим;40;3;5
Week 2;день 3;присед;x;3;8
Week 2;день 3;жим;45;3;4
Week 2;день 3;жим;50;2;3
Week 2;день 3;разгибание рук на блоке стоя;x;3;10
Week 2;день 3;сгибание рук со штангой стоя ;x;3;10
Week 3;день 1;жим;40;4;7
Week 3;день 1;жим;45;3;6
Week 3;день 1;присед;x;3;8
Week 3;день 1;разгибание рук на блоке стоя;x;3;10
Week 3;день 1;сгибание рук со штангой стоя ;x;3;10
Week 3;день 2;жим;35;5;8
Week 3;день 2;подтягивания;x;3;5
Week 3;день 2;жим;40;4;6
Week 3;день 2;тяга средним хватом к подбородку;x;3;10
Week 3;день 3;жим;45;4;6
Week 3;день 3;присед;x;3;8
Week 3;день 3;жим;50;4;5
Week 3;день 3;жим;55;2;4
Week 3;день 3;разгибание рук на блоке стоя;x;3;10
Week 3;день 3;сгибание рук со штангой стоя ;x;3;10
Week 4;день 1;жим;50;4;4
Week 4;день 1;жим;55;3;3
Week 4;день 1;присед;x;3;8
Week 4;день 1;разгибание рук на блоке стоя;x;3;10
Week 4;день 1;сгибание рук со штангой стоя ;x;3;10
Week 4;день 2;жим;40;5;7
Week 4;день 2;подтягивания;x;3;5
Week 4;день 2;жим;45;4;5
Week 4;день 2;тяга средним хватом к подбородку;x;3;10
Week 4;день 3;жим;40;3;5
Week 4;день 3;присед;x;3;8
Week 4;день 3;жим;50;3;4
Week 4;день 3;жим;60;2;3
Week 4;день 3;разгибание рук на блоке стоя;x;3;10
Week 4;день 3;сгибание рук со штангой стоя ;x;3;10
Week 5;день 1;жим;40;4;7
Week 5;день 1;жим;45;4;6
Week 5;день 1;присед;x;3;8
Week 5;день 1;разгибание рук на блоке стоя;x;3;10
Week 5;день 1;сгибание рук со штангой стоя ;x;3;10
Week 5;день 2;жим;35;3;8
Week 5;день 2;подтягивания;x;3;5
Week 5;день 2;жим;40;3;6
Week 5;день 2;тяга средним хватом к подбородку;x;3;10
Week 5;день 3;жим;40;4;6
Week 5;день 3;присед;;3;8
Week 5;день 3;жим;50;4;5
Week 5;день 3;жим;60;3;4
Week 5;день 3;разгибание рук на блоке стоя;x;3;10
Week 5;день 3;сгибание рук со штангой стоя ;x;3;10
Week 6;день 1;жим;50;4;5
Week 6;день 1;жим;55;3;4
Week 6;день 1;присед;x;3;8
Week 6;день 1;разгибание рук на блоке стоя;x;3;10
Week 6;день 1;сгибание рук со штангой стоя ;x;3;10
Week 6;день 2;жим;40;4;7
Week 6;день 2;подтягивания;x;3;5
Week 6;день 2;жим;45;4;6
Week 6;день 2;тяга средним хватом к подбородку;x;3;10
Week 6;день 3;жим;50;4;6
Week 6;день 3;присед;x;3;8
Week 6;день 3;жим;55;3;5
Week 6;день 3;жим;60;2;4
Week 6;день 3;разгибание рук на блоке стоя;x;3;10
Week 6;день 3;сгибание рук со штангой стоя ;x;3;10
Week 7;день 1;жим;55;3;4
Week 7;день 1;жим;60;3;3
Week 7;день 1;присед;x;3;8
Week 7;день 1;разгибание рук на блоке стоя;x;3;10
Week 7;день 1;сгибание рук со штангой стоя ;x;3;10
Week 7;день 2;жим;45;5;7
Week 7;день 2;подтягивания;x;3;5
Week 7;день 2;жим;50;4;5
Week 7;день 2;тяга средним хватом к подбородку;x;3;10
Week 7;день 3;жим;45;3;5
Week 7;день 3;присед;x;3;8
Week 7;день 3;жим;55;3;4
Week 7;день 3;жим;65;2;3
Week 7;день 3;разгибание рук на блоке стоя;x;3;10
Week 7;день 3;сгибание рук со штангой стоя ;x;3;10
Week 8;день 1;жим;40;4;7
Week 8;день 1;жим;45;4;6
Week 8;день 1;присед;x;3;8
Week 8;день 1;разгибание рук на блоке стоя;x;3;10
Week 8;день 1;сгибание рук со штангой стоя ;x;3;10
Week 8;день 2;жим;35;4;8
Week 8;день 2;подтягивания;x;3;5
Week 8;день 2;жим;40;4;6
Week 8;день 2;тяга средним хватом к подбородку;x;3;10
Week 8;день 3;жим;45;4;6
Week 8;день 3;присед;x;3;8
Week 8;день 3;жим;50;4;5
Week 8;день 3;жим;55;4;4
Week 8;день 3;разгибание рук на блоке стоя;x;3;10
Week 8;день 3;сгибание рук со штангой стоя ;x;3;10
Week 9;день 1;жим;55;3;5
Week 9;день 1;жим;60;3;4
Week 9;день 1;присед;x;3;8
Week 9;день 1;разгибание рук на блоке стоя;x;3;10
Week 9;день 1;сгибание рук со штангой стоя ;x;3;10
Week 9;день 2;жим;40;3;7
Week 9;день 2;подтягивания;x;3;5
Week 9;день 2;жим;45;3;6
Week 9;день 2;тяга средним хватом к подбородку;x;3;10
Week 9;день 3;жим;50;4;6
Week 9;день 3;присед;x;3;8
Week 9;день 3;жим;60;3;5
Week 9;день 3;жим;65;2;4
Week 9;день 3;разгибание рук на блоке стоя;x;3;10
Week 9;день 3;сгибание рук со штангой стоя ;x;3;10
Week 10;день 1;жим;60;3;4
Week 10;день 1;жим;65;3;3
Week 10;день 1;присед;x;3;8
Week 10;день 1;разгибание рук на блоке стоя;x;3;10
Week 10;день 1;сгибание рук со штангой стоя ;x;3;10
Week 10;день 2;жим;50;4;7
Week 10;день 2;подтягивания;x;3;5
Week 10;день 2;жим;55;4;5
Week 10;день 2;тяга средним хватом к подбородку;x;3;10
Week 10;день 3;жим;60;3;5
Week 10;день 3;присед;x;3;8
Week 10;день 3;жим;65;2;4
Week 10;день 3;жим;70;2;3
Week 10;день 3;разгибание рук на блоке стоя;x;3;10
Week 10;день 3;сгибание рук со штангой стоя ;x;3;10
Week 11;день 1;жим;45;4;7
Week 11;день 1;жим;50;3;6
Week 11;день 1;присед;x;3;8
Week 11;день 1;разгибание рук на блоке стоя;x;3;10
Week 11;день 1;сгибание рук со штангой стоя ;x;3;10
Week 11;день 2;жим;40;4;7
Week 11;день 2;подтягивания;x;3;5
Week 11;день 2;жим;45;4;6
Week 11;день 2;тяга средним хватом к подбородку;x;3;10
Week 11;день 3;жим;50;4;6
Week 11;день 3;присед;x;3;8
Week 11;день 3;жим;55;4;5
Week 11;день 3;жим;60;3;4
Week 11;день 3;разгибание рук на блоке стоя;x;3;10
Week 11;день 3;сгибание рук со штангой стоя ;x;3;10
Week 12;день 1;жим;60;3;5
Week 12;день 1;жим;65;2;4
Week 12;день 1;присед;x;3;8
Week 12;день 1;разгибание рук на блоке стоя;x;3;10
Week 12;день 1;сгибание рук со штангой стоя ;x;3;10
Week 12;день 2;жим;45;3;7
Week 12;день 2;подтягивания;x;3;5
Week 12;день 2;жим;50;2;6
Week 12;день 2;тяга средним хватом к подбородку;x;3;10
Week 12;день 3;жим;55;3;6
Week 12;день 3;присед;x;3;8
Week 12;день 3;жим;65;3;5
Week 12;день 3;жим;70;2;4
Week 12;день 3;разгибание рук на блоке стоя;x;3;10
Week 12;день 3;сгибание рук со штангой стоя ;x;3;10
Week 13;день 1;жим;70;3;4
Week 13;день 1;жим;75;2;3
Week 13;день 1;присед;x;3;8
Week 13;день 1;разгибание рук на блоке стоя;x;3;10
Week 13;день 1;сгибание рук со штангой стоя ;x;3;10
Week 13;день 2;жим;50;3;6
Week 13;день 2;подтягивания;x;3;5
Week 13;день 2;жим;60;3;5
Week 13;день 2;тяга средним хватом к подбородку;x;3;10
Week 13;день 3;жим;62,5;3;5
Week 13;день 3;присед;x;3;8
Week 13;день 3;жим;70;2;4
Week 13;день 3;жим;77,5;2;3
Week 13;день 3;разгибание рук на блоке стоя;x;3;10
Week 13;день 3;сгибание рук со штангой стоя ;x;3;10
Week 14;день 1;жим;50;4;7
Week 14;день 1;жим;55;3;6
Week 14;день 1;присед;x;3;8
Week 14;день 1;разгибание рук на блоке стоя;x;3;10
Week 14;день 1;сгибание рук со штангой стоя ;x;3;10
Week 14;день 2;жим;50;4;7
Week 14;день 2;подтягивания;x;3;5
Week 14;день 2;жим;55;3;6
Week 14;день 2;тяга средним хватом к подбородку;x;3;10
Week 14;день 3;жим;50;3;6
Week 14;день 3;присед;x;3;8
Week 14;день 3;жим;60;3;5
Week 14;день 3;жим;70;3;4
Week 14;день 3;разгибание рук на блоке стоя;x;3;10
Week 14;день 3;сгибание рук со штангой стоя ;x;3;10
Week 15;день 1;жим;65;3;5
Week 15;день 1;жим;75;2;4
Week 15;день 1;присед;x;3;8
Week 15;день 1;разгибание рук на блоке стоя;x;3;10
Week 15;день 1;сгибание рук со штангой стоя ;x;3;10
Week 15;день 2;жим;60;3;7
Week 15;день 2;подтягивания;x;3;5
Week 15;день 2;жим;65;2;6
Week 15;день 2;тяга средним хватом к подбородку;x;3;10
Week 15;день 3;жим;60;2;6
Week 15;день 3;присед;x;3;8
Week 15;день 3;жим;70;2;5
Week 15;день 3;жим;75;2;4
Week 15;день 3;разгибание рук на блоке стоя;x;3;10
Week 15;день 3;сгибание рук со штангой стоя ;x;3;10
Week 16;день 1;жим;65;2;4
Week 16;день 1;жим;75;2;3
Week 16;день 1;присед;x;3;8
Week 16;день 1;разгибание рук на блоке стоя;x;3;10
Week 16;день 1;сгибание рук со штангой стоя ;x;3;10
Week 16;день 2;жим;60;3;6
Week 16;день 2;подтягивания;x;3;5
Week 16;день 2;жим;70;2;5
Week 16;день 2;тяга средним хватом к подбородку;x;3;10
Week 16;день 3;жим;60;2;5
Week 16;день 3;присед;x;3;8
Week 16;день 3;жим;70;2;4
Week 16;день 3;жим;80;2;3
Week 16;день 3;разгибание рук на блоке стоя;x;3;10
Week 16;день 3;сгибание рук со штангой стоя ;x;3;10
Week 17;день 1;жим;50;3;7
Week 17;день 1;жим;60;2;6
Week 17;день 1;присед;x;3;8
Week 17;день 1;разгибание рук на блоке стоя;x;3;10
Week 17;день 1;сгибание рук со штангой стоя ;x;3;10
Week 17;день 2;жим;50;3;7
Week 17;день 2;подтягивания;x;3;5
Week 17;день 2;жим;55;2;6
Week 17;день 2;тяга средним хватом к подбородку;x;3;10
Week 17;день 3;жим;60;3;6
Week 17;день 3;присед;x;3;8
Week 17;день 3;жим;65;3;5
Week 17;день 3;жим;75;2;4
Week 17;день 3;разгибание рук на блоке стоя;x;3;10
Week 17;день 3;сгибание рук со штангой стоя ;x;3;10
Week 18;день 1;жим;70;3;4
Week 18;день 1;жим;75;3;3
Week 18;день 1;присед;x;3;8
Week 18;день 1;разгибание рук на блоке стоя;x;3;10
Week 18;день 1;сгибание рук со штангой стоя ;x;3;10
Week 18;день 2;жим;70;3;4
Week 18;день 2;подтягивания;x;3;5
Week 18;день 2;жим;60;2;3
Week 18;день 2;тяга средним хватом к подбородку;x;3;10
Week 18;день 3;жим;70;3;4
Week 18;день 3;присед;x;3;8
Week 18;день 3;жим;80;2;3
Week 18;день 3;жим;85;2;2
Week 18;день 3;разгибание рук на блоке стоя;x;3;10
Week 18;день 3;сгибание рук со штангой стоя ;x;3;10
Week 19;день 1;жим;75;3;4
Week 19;день 1;жим;80;2;3
Week 19;день 1;присед;x;3;8
Week 19;день 1;разгибание рук на блоке стоя;x;3;10
Week 19;день 1;сгибание рук со штангой стоя ;x;3;10
Week 19;день 2;жим;50;3;4
Week 19;день 2;подтягивания;x;3;5
Week 19;день 2;жим;60;3;3
Week 19;день 2;тяга средним хватом к подбородку;x;3;10
Week 19;день 3;жим;70;3;3
Week 19;день 3;присед;x;3;8
Week 19;день 3;жим;80;2;2
Week 19;день 3;жим;90;1;1
Week 19;день 3;разгибание рук на блоке стоя;x;3;10
Week 19;день 3;сгибание рук со штангой стоя ;x;3;10
Week 20;день 1;жим;50;3;3
Week 20;день 1;жим;60;2;2
Week 20;день 1;присед;x;3;8
Week 20;день 1;разгибание рук на блоке стоя;x;3;10
Week 20;день 1;сгибание рук со штангой стоя ;x;3;10
Week 20;день 2;жим;60;4;1
Week 20;день 3;жим;45;1;4
Week 20;день 3;жим;60;1;3
Week 20;день 3;жим;75;1;2
Week 20;день 3;жим;90;1;1
Week 20;день 3;жим;100;1;1
